AUT	BEL	DEU	ESP	FIN	FRA	GRC	IRL	ITA	LUX	NLD	PRT
3,3733925819	3,3884580135	30,7085227966	12,5586948395	2,0294060707	19,5788822174		1,2358709574	18,7663955688	0,1339599341	4,3977527618	2,9020793438
3,3712460995	3,4015307426	31,2864532471	12,5169010162	2,0473077297	19,7151660919	2,9266917706	1,2192851305	19,0710945129	0,1337681413	4,4479689598	2,9268159866
3,3691012859	3,4146542549	31,8714199066	12,4752464294	2,0653679371	19,7951602936	3,0548434258	1,2029217482	19,380739212	0,1335766166	4,4622883797	2,9517638683
3,3669579029	3,4278285503	32,6791152954	12,4337329865	2,0835871696	19,7222576141	3,1886065006	1,1867779493	19,6954116821	0,1333853602	4,5691375732	2,976924181
3,3648154736	3,4410533905	33,6743164063	12,3923549652	2,1019673347	19,7631168365	3,3282270432	1,1708509922	20,0151920319	0,133194387	4,6237783432	3,0022993088
3,3626747131	3,4543292522	34,7778816223	12,3511152267	2,1205096245	19,9194831848	3,4739608765	1,1551375389	20,3401641846	0,1330036819	4,7058224678	3,0278904438
3,3605353832	3,4676566124	35,491645813	12,3100137711	2,1392154694	20,172082901	3,626075983	1,1396352053	20,6704158783	0,13281326	4,8131694794	3,0536994934
3,3928999901	3,4922845364	36,1618766785	12,5005483627	2,1744372845	20,3272857666	3,6457414627	1,0981017351	20,739780426	0,1326230913	4,8431081772	2,9919521809
3,4026093483	3,45484972	36,439743042	12,7163467407	2,2086231709	20,2790126801	3,6730546951	1,0818935633	20,7820053101	0,1324332058	4,8419566154	3,0967357159
3,4177126884	3,4262812138	36,8092498779	12,5784463882	2,1350717545	20,1707744598	3,6828870773	1,0737895966	20,9649734497	0,1327353418	4,859228611	3,1182539463
3,4468412399	3,5050914288	37,2676353455	12,538444519	2,1972279549	20,2059841156	3,6992750168	1,0687245131	20,9378299713	0,1329367608	4,9421348572	3,1584837437
3,4657464027	3,5313544273	37,6453170776	12,563709259	2,2390227318	20,1989784241	3,7140316963	1,0636594296	21,071062088	0,1343467683	5,0142221451	3,1618270874
3,4495170116	3,5859005451	37,7445068359	12,6427288055	2,2298157215	20,1838150024	3,6768689156	1,0737894773	21,0095710754	0,1347500682	5,114672184	3,1528711319
3,4259080887	3,6111533642	37,7938652039	12,7269992828	2,2384023666	20,3351802826	3,6253886223	1,0798676014	20,6611194611	0,1342466921	5,1843962669	3,143676281
3,4202141762	3,662668705	37,8441047668	12,7941398621	2,2374708652	20,5534954071	3,5782797337	1,0849326849	20,5893783569	0,1365623474	5,2753920555	3,1347203255
3,3972213268	3,6768107414	37,9841346741	12,8915338516	2,2635409832	20,6175441742	3,5532495975	1,0829066038	20,0871963501	0,137771219	5,3202991486	3,1255254745
3,3690137863	3,6899418831	37,8988685608	13,0144863129	2,2678861618	20,777261734	3,5212247372	1,079462409	19,7592449188	0,1384757161	5,3616609573	3,110001564
3,3140947819	3,6737804413	37,1725769043	13,1015167236	2,2261946201	20,8361206055	3,4790349007	1,0737895966	20,0052089691	0,1369656324	5,3451161385	3,0908954144
3,2705924511	3,6697397232	37,3060417175	13,1949052811	2,1971247196	20,784040451	3,4372823238	1,076828599	19,9949607849	0,1364622712	5,3947501183	3,0717895031
3,2645509243	3,7323670387	37,6924057007	13,3182725906	2,2303328514	21,0984687805	3,4268989563	1,0798677206	19,851480484	0,1383756548	5,4845643044	3,0526833534
3,2711293697	3,7353971004	37,9139556885	13,4535188675	2,2777140141	21,3849544525	3,4235098362	1,066698432	19,9437179565	0,1411956549	5,5686268806	3,149408102
3,3071191311	3,7592496872	37,8888587952	13,5780525208	2,2678256035	21,4560527802	3,4347043037	1,082049489	19,9595432281	0,1454380006	5,6168122292	3,2426118851
3,3254916668	3,7458131313	37,9017562866	13,752658844	2,2855539322	21,5942153931	3,4438493252	1,0677905083	19,9119262695	0,1487915665	5,5847854614	3,2661924362
3,3645174503	3,7749745846	38,1548309326	14,1213874817	2,3272619247	21,9132099152	3,478597641	1,0829750299	20,1682891846	0,1512614787	5,6321988106	3,2827587128
3,4107630253	3,8265724182	37,8618431091	14,2162618637	2,3343188763	22,1491680145	3,4910247326	1,0984369516	20,4483566284	0,1547733545	5,6795649529	3,5180985928
3,3993446827	3,7675805092	37,2677345276	13,9716854095	2,3231098652	22,0194015503	3,4917349815	1,0897861719	20,450258255	0,1561938375	5,6777243614	3,6112098694
3,4178726673	3,7484107018	37,3582420349	13,8063344955	2,30245471	22,2368221283	3,5266451836	1,0809746981	20,6592235565	0,1563482583	5,7199416161	3,6314857006
3,4529955387	3,7365887165	37,4745025635	13,6722993851	2,2601225376	22,436422348	3,5481696129	1,1184710264	20,7291088104	0,1569947004	5,7348575592	3,6861610413
3,4659276009	3,7437996864	37,7713737488	13,2859802246	2,2377808094	22,5523014069	3,5667462349	1,1341532469	20,8080348969	0,1567343473	5,8166956902	3,7097172737
3,4841165543	3,7815613747	38,2522964478	13,001294136	2,2870721817	22,6805915833	3,6088778973	1,1898764372	21,0611572266	0,1578914076	5,939675808	3,7873177528
3,5079391003	3,7779362202	38,5633468628	12,7136030197	2,3545601368	22,7562980652	3,6642479897	1,1825015545	21,397895813	0,1589331031	6,0387063026	3,8852369785
3,4759089947	3,7099306583	38,4825973511	12,4111604691	2,3846645355	22,7107257843	3,8540606499	1,1773372889	21,4192199707	0,1593209058	6,0018801689	3,9022357464
3,4312376976	3,6630871296	38,1740646362	12,3054237366	2,4106013775	22,7560634613	3,8162026405	1,1711193323	21,5024662018	0,1589195728	5,9157299995	3,9158585072
3,4317364693	3,6174650192	37,8959159851	12,2627439499	2,4187085629	22,7540359497	3,8341395855	1,1615115404	21,580657959	0,1584335417	5,8709287643	4,1041240692
3,4282801151	3,6189053059	38,0895385742	11,9865074158	2,4335203171	22,630821228	3,8241891861	1,1384183168	21,5902786255	0,1593843102	5,9246635437	4,0956039429
3,4359688759	3,6379799843	38,43227005	11,8552532196	2,4389169216	22,6091022491	3,9224560261	1,134065032	21,8087520599	0,1609749645	6,0371446609	4,074819088
