AUT	BEL	DEU	ESP	FIN	FRA	GRC	IRL	ITA	LUX	NLD	PRT
37245,96484375	70060,75	323146,28125	98954,3359375	23898,70703125	300514,5		15174,61328125	203680	3576,8173828125	76804,9140625	22068,068359375
38629,546875	74889,4296875	354677,0625	115518,9765625	28449,9296875	314330,75	25626,076171875	14740,6318359375	219549,53125	4455,5830078125	79153,453125	24290,03515625
40452,1484375	76454,0546875	392036,1875	120540,703125	28791,482421875	324790,6875	25065,828125	15773,75	226213,859375	5053,4326171875	87042,375	25151,927734375
42370,93359375	76541,84375	428063,6875	116186,7265625	27682,474609375	340213,1875	28149,869140625	16589,9921875	244363,671875	4404,2646484375	94147,1484375	26818,330078125
45237,98828125	79861,21875	464285,25	131545,28125	31045,259765625	359387,125	28647,314453125	16764,4921875	256569,140625	4430,4028320313	97252,0546875	28254,3359375
49787,0078125	84757,109375	528326,4375	138486,515625	34056,88671875	379413,09375	30833,33984375	17046,142578125	274477,90625	4732,6625976563	107591,140625	29176,27734375
53789,71875	88625,203125	568906,1875	148854,46875	34697,546875	399000,625	33597,53125	16752,828125	285528,09375	5281,1040039063	112041,09375	30688,31640625
56584,0625	89308,671875	601594,75	155851,09375	34523,578125	421756,84375	36095,34765625	16672,57421875	299465,71875	5415,673828125	114445,4921875	31795,498046875
59222,5859375	88834,0625	627838,625	162674,46875	34492,49609375	435362,25	38088,05859375	16668,080078125	315349,40625	5257,8984375	116470,828125	32046,63671875
61525,6796875	90101,0625	682007,625	158790,015625	37166,16796875	449985,65625	39504,5390625	17599,005859375	337213,90625	5290,9428710938	123060,4296875	33978,484375
66254,421875	95888,34375	749366,0625	176166	41107,8203125	488274,65625	40216,1640625	18347,986328125	360766,0625	6131,107421875	130847,7734375	36359,5234375
70117,515625	100249,6953125	781646,1875	196242,109375	45324,08203125	512297,9375	45920,2421875	19262,091796875	392687,96875	6079,6958007813	135377,9375	38483,2109375
72212,8515625	105575,671875	813679,5625	215516,03125	46092,765625	546161,25	45248,88671875	19847,048828125	416147,09375	5911,1728515625	143039,703125	41391,84765625
75497,296875	109043,875	830908,125	236265,65625	47094,80859375	581125,1875	51262,359375	20774,083984375	438135,125	6039,2202148438	149432,109375	44085,49609375
79308,4453125	117187,6484375	893735,3125	248783,65625	49528,1796875	621551,25	55042,21875	21780,404296875	450013,5625	6543,9028320313	161009,515625	45362,66015625
82033,4609375	122069,9921875	938416,6875	263214,28125	52975,14453125	650932,625	61072,52734375	22105,38671875	462375,125	6674,5864257813	173385,53125	48335,52734375
86199,984375	125963,1953125	965887,875	285337,90625	54405,58203125	686043,375	66092,671875	22665,478515625	488277,3125	6705,9790039063	180097,734375	49487,09765625
88951,109375	130722,4453125	959780,25	301770,1875	55571,36328125	720799,8125	69814,7734375	24203,130859375	524429,8125	6805,0776367188	191651,25	52835,1328125
93062,7734375	136087,828125	1015430,375	322983,21875	57894,68359375	752317,5625	74304,859375	25898,5390625	558050,875	7221,4477539063	207922,859375	61650,4453125
97642,765625	145781,40625	1095755,375	353900,375	64100,4453125	807204,625	83068,3671875	27396,85546875	594270,4375	8239,7021484375	218225,375	64286,4453125
103551,796875	154872,421875	1169335,375	368973,6875	69507,96875	854642	90568,78125	27813,287109375	678866,125	8846,673828125	231152,40625	67954,4765625
108803,9375	159997,84375	1213161,5	388201,15625	70594,6640625	906397,0625	97562,8515625	29055,623046875	695266,875	8486,4130859375	243270,875	73285,7578125
115845,1015625	170599,109375	1274049,25	421938,09375	75064,2890625	958438,375	107275,2578125	31851,9296875	732181,0625	9061,1416015625	254228,328125	79609,6640625
122578,375	183843,265625	1339150,875	453940,8125	80729,8984375	1030232,9375	115547,5078125	34295,9765625	782415,125	10313,8427734375	272069,78125	88263,6796875
125235,5546875	190273,640625	1340630,375	465255,5625	83180,5703125	1053729,375	106702,9140625	32543,076171875	817003,6875	11401,0029296875	291046,8125	87310,359375
