AUT	BEL	DEU	ESP	FIN	FRA	GRC	IRL	ITA	LUX	NLD	PRT
2096,2508730986	2099,8635265011	2427,4286594571	1973,5572667342	2053,0633594401	2293,5188500691		2483,8025709657	2107,1048931876	2140,92993996	1993,9946785887	2348,7715080697
2093,5835122488	2089,6157499018	2401,5953148224	1971,5855944265	2053,6678836078	2313,3350266701	2312,5513449023	2471,6514456558	2113,5570929841	2130,4817506075	1979,3411521477	2333,8479004749
2090,919545465	2079,4179846123	2376,0368955465	1969,6158919079	2054,2725857776	2295,8765494561	2302,988143402	2459,5597654275	2120,0290501655	2120,0845506212	1964,7953119705	2319,0191143912
2088,2589684284	2069,2699865668	2350,7504758001	1967,6481572106	2054,8774660019	2274,7816372131	2293,4644890551	2447,5272394666	2126,520825231	2109,7380911622	1950,3563666894	2304,2845473424
2085,6017768259	2059,1715128906	2325,7331608916	1965,6823883686	2055,482524333	2288,0454061724	2283,9802183206	2435,5535783819	2133,0324788655	2099,4421246061	1936,0235307517	2289,6436006802
2082,9479663497	2049,1223218945	2300,9820869354	1963,7185834179	2056,0877608235	2270,5012821157	2274,5351683334	2423,6384941977	2139,5640719393	2089,1964045369	1921,7960243783	2275,0956795601
2080,2975326974	2039,1221730685	2276,4944205241	1961,7567403965	2056,6931755257	2217,8640583884	2265,1291769022	2411,7817003474	2146,1156655093	2079,0006857412	1907,67307352	2260,6401929171
2077,6504715722	2029,1708270765	2252,2673584041	1959,7968573444	2057,2987684922	2190,4316121403	2255,7620825064	2399,9829116661	2152,6873208195	2068,8547242021	1893,6539098162	2246,2765534417
2075,0067786829	2019,2680457504	2228,2981271551	1957,8389323034	2057,9045397755	2177,3508494666	2246,4337242931	2388,241844384	2159,2790993011	2058,7582770938	1879,7377705528	2232,0041775559
2072,3664497434	2009,4135920843	2204,5839828718	1955,8829633174	2058,510489428	2180,2383316783	2237,1439420749	2376,5582161195	2165,8910625736	2048,7111027755	1865,9238986209	2217,8224853899
2069,7294804734	1999,6072302292	2181,1222108507	1953,9289484323	2059,1166175023	2190,8798017348	2227,8925763267	2364,9317458727	2172,5232724453	2038,7129607854	1852,2115424753	2203,7309007581
2057,0130132665	1987,7458326987	2154,5047161129	1960,2143514819	2058,117531322	2169,1293137644	2217,9907195198	2367,9646020774	2155,7813478766	2026,6195933916	1850,5418087988	2191,5938534766
2044,374676337	1975,9547953616	2117,4015416297	1966,5199734302	2051,1239280603	2183,4962536595	2208,1328714633	2371,0013477038	2106,5201335919	2014,5979622048	1848,8735803557	2179,5236509795
2031,8139896504	1964,2337008508	2086,9527408311	1972,8458793174	2047,1275833392	2167,1591804571	2198,3188365604	2374,0419877398	2091,7282316304	2002,6476416956	1847,206855789	2167,5199251191
2019,330476122	1952,5821342749	2098,4466590134	1979,192134393	2073,1038240258	2175,7138680441	2188,5484200839	2377,0865271796	2085,5745615142	1990,7682088587	1845,5416337429	2155,5823097752
2006,9236615978	1940,9996832038	2084,2304970511	1985,5588041162	2073,1038240258	2163,4120275916	2178,821428172	2380,1349710241	2027,7766479548	1978,9592431981	1843,877912863	2143,7104408443
1994,5930748375	1929,4859376537	2057,9154738443	1991,9459541569	2048,1266695195	2156,1822125813	2169,1376678243	2383,1873242802	2046,4785493042	1967,2203267122	1842,2156917961	2131,903956228
1982,3382474958	1918,0404900727	2020,207356299	1998,3536503963	2031,1422044552	2122,7648529129	2159,4969468984	2386,2435919615	2071,0066284586	1955,5510438789	1840,55496919	2120,1624958223
1970,1587141051	1906,6629353268	2007,7051996797	2004,7819589274	2015,1568255711	2099,7494217425	2149,8990741058	2389,3037790881	2064,5433835436	1943,9509816407	1838,8957436939	2108,4857015062
1958,0540120576	1895,3528706847	1987,9437263137	2011,2309460559	1996,1741881463	2025,7761321561	2140,3438590082	2392,3678906862	2063,4205527622	1932,4197293905	1875,0439477947	2096,8732171314
1899,7267373057	1884,1098958045	1972,517678227	2017,7006783007	1980,1888092623	2007,3529411765	2098,6427276023	2395,4359317889	2042,0827862449	1920,9568789569	1835,5817786346	2053,008797897
1894,8526794311	1875,042896306	1940,5565197728	2013,5866789566	1945,2208126305	2005,7337311206	2099,6047478699	2378,1857955723	1989,6077917377	1917,3035025114	1802,095726457	2052,771860021
1915,4184467714	1848,9988977462	1915,4513826904	2009,1196796688	1929,2358141702	1952,9280948851	2101,0935571344	2357,6382079565	1970,8397937023	1895,8828508741	1800,3479846994	2052,3840597026
1910,3743642557	1822,1988992283	1884,9017580481	2013,0536790416	1913,24981571	1937,4485972768	2102,5457963471	2344,5631718004	1954,5457954078	1865,4314235841	1773,9428862563	2051,0593245006
1988,7008909346	1792,0629008949	1851,6298896257	2007,4686799321	1907,2558162874	1905,6501267657	2103,9596264635	2307,5321849854	1923,9607986093	1840,9762269428	1720,4607886487	2060,6472758148
1913,6311537519	1781,9819014524	1811,9052952063	2002,6776806959	1899,1428170689	1879,49993156	2105,3333459445	2297,0708058318	1908,5118002264	1812,2242205531	1667,3656338674	2060,7795776505
1907,6718059832	1783,5489013658	1824,3066279819	1985,8836833736	1896,1288173592	1906,1990950226	2106,6653964588	2291,8454207249	1906,3868004489	1829,3622558236	1651,4919793223	2056,5243818927
1914,446717423	1757,4689028081	1806,2541159953	1998,3456813866	1887,8368181579	1867,3423625437	2107,9543673748	2261,3119273512	1871,496804101	1803,2369712708	1631,2659678715	2057,4360867257
1853,4231632616	1738,9809038305	1787,1986866761	1972,132685566	1893,2558176359	1835,8521688734	2109,6097467877	2241,1115414037	1861,5218051451	1784,9199390951	1602,720185731	2043,1426076802
1886,2014435068	1721,8329047788	1775,163678685	1928,7036924903	1869,1428199586	1832,469775475	2111,0493252512	2218,8636300627	1854,97880583	1767,634292655	1581,2883524496	2028,484484242
1890,5785255954	1701,9919058761	1756,1082493658	1918,1946941658	1849,1888218806	1823,3115852583	2111,6992213828	2178,3866666905	1856,0348057195	1750,7668778619	1578,359785168	2010,1273125023
1828,37035394	1679,3049071307	1734,0440680488	1884,0266996135	1854,7940609009	1803,0717627328	2111,7839285697	2146,4171086391	1862,3118050624	1725,531045228	1577,8348627294	1993,1892166249
1844,4290794858	1664,9209079262	1723,0119773903	1863,005702965	1840,2737453339	1729,7820823245	2111,3944872242	2138,8047120631	1873,7178038685	1707,1723791326	1563,3320056384	1973,5669957231
1839,1960566013	1670,8689075972	1709,9740520666	1830,8347080943	1822,6446280992	1711,8741184767	2108,8662537596	2128,1340474595	1872,9898039447	1701,3133511735	1548,4102104487	1955,9903269263
1835,1890789292	1694,8809062693	1698,9419614081	1786,7167151285	1813,7013307048	1705,2906770649	2108,4954836263	2111,7830470948	1862,6248050297	1687,1179174023	1540,2914100641	1939,3842193599
1830,7715515519	1700,8839059373	1675,8748627586	1776,6987167257	1813,3021691885	1669,8791970155	2107,4692134051	2189,6260488308	1859,1258053959	1701,3575798323	1523,8418406148	1925,3053276386
1829,9480661172	1680,8739070439	1656,8194334393	1768,6657180065	1792,5871076556	1664,6481612447	2107,8125604545	2200,3400490697	1867,560804513	1693,7404219201	1508,9040477889	1913,1898237537
1817,8924926737	1665,8659078739	1633,7523347898	1760,646719285	1798,1264828602	1676,4950711939	2110,0712505022	2176,1180485295	1886,686802511	1690,8842334178	1487,6421893925	1936,6198215953
1821,3248149046	1653,8599085379	1628,7377481268	1756,6237199264	1806,1798890374	1685,6535508221	2107,2548232735	2182,2340486659	1890,3518021273	1711,8181490788	1484,4346633292	1940,7058212189
1834,5033162732	1644,8549090359	1605,6706494772	1744,5557218505	1802,1422553857	1669,8644154515	2109,3039956606	2195,5370489626	1874,4878037879	1700,4032236604	1479,6883646314	1965,4028189438
1835,2938562148	1658,8629082612	1582,6035508276	1746,5487215328	1769,1191292078	1664,7936118974	2111,6229170756	2186,5360487619	1863,7768049091	1700,4061722376	1473,8702243066	2039,8258120878
1845,7610851222	1621,8429103085	1553,5189481825	1755,5627200956	1747,4367737526	1654,5692126117	2112,8908660003	2151,0360479702	1856,8278056365	1682,3235307835	1464,7705688508	1874,6048273082
1814,0884000742	1598,8309115811	1564,7154089283	1747,5977213655	1752,7573529412	1656,0617629592	2112,868964056	2104,2970469279	1859,9718053074	1660,4391903868	1471,1746226025	1802,3748339622
1811,4418111295	1554,8079140157	1541,5762451702	1739,5847226431	1755,3394262255	1640,9893689986	2112,1438210472	2077,0070463193	1859,8348053217	1667,0941292544	1460,8581469413	1810,3478332277
1809,6728191559	1554,8079140157	1537,2506481824	1738,5267228118	1774,8426426129	1630,2882975094	2110,1988180569	2079,8100463818	1853,755805958	1645,2088059986	1468,4900192733	1834,193831031
1783,4387148012	1580,821912577	1527,9782917962	1738,8167227656	1776,0518114531	1604,745419235	2110,7062944802	2087,9400465631	1856,086805714	1657,2134468683	1479,2354315558	1893,4018255766
1816,2940077558	1554,7279140201	1510,4954041455	1740,202564632	1774,8919827172	1606,2043489212	2109,4004829819	2095,7290467368	1866,1271899184	1630,5465141618	1494,4548269826	1894,421992369
1825,0125385111	1567,9749132875	1499,6442406514	1742,4938744415	1764,7249941982	1596,2435448942	2107,9447675407	2040,0540454952	1860,1130967993	1618,1654382624	1480,0753657262	1889,6280856197
1803,3042610017	1578,7809126899	1493,581899133	1750,9642443848	1754,3971566573	1582,7229201621	2108,4344246464	1953,1940435581	1873,7857040526	1612,4510955395	1476,3424342945	1905,308215301
1807,0144228056	1581,9009125174	1478,7220414542	1756,0534309379	1757,257813542	1571,7253225742	2104,8524085245	1941,8828748344	1870,3572029582	1609,59195846	1475,29281905	1907,0874313838
1807,3633350637	1594,1944579485	1452,0129268232	1752,7551374993	1742,0702258191	1534,7668575435	2107,6384428641	1932,7237881826	1850,8061664632	1602,9242424242	1462,0211936663	1916,8096694474
1794,6181964271	1587,7230001918	1441,910120827	1762,5000289892	1722,5939269171	1525,9822560203	2101,1304460329	1923,529378124	1837,7605620002	1586,1125044787	1451,8977422052	1900,4532084232
1792,2169280954	1582,0795195195	1430,860459248	1764,5739816537	1713,7765709194	1487,2902411987	2093,2151483101	1904,2762713391	1826,5937219806	1580,5988857939	1434,8143094447	1893,5931167997
1783,772417473	1577,5485576923	1424,7448979592	1755,9388572241	1705,279213626	1484,3666386362	2091,478708449	1886,7864348691	1815,7973647591	1579,2854700855	1426,5539911705	1886,6373605689
1786,8139905441	1572,4897026261	1422,2233520604	1741,5068976969	1707,3222109875	1513,2081233776	2082,5518180574	1875,2559571863	1815,3416021605	1578,3099532398	1447,5278280816	1892,8102871541
1763,983706048	1565,0692455753	1411,2800691654	1725,6005863324	1697,0878619431	1507,430434453	2136,2390168006	1883,1937012689	1812,0551154429	1554,7464239272	1433,5756085862	1894,8535596394
1746,2071467717	1574,5374132287	1424,6751608427	1715,6556295247	1692,9031206714	1484,0064499194	2125,3363740505	1878,8129566488	1812,582313339	1556,1584220413	1430,4601479047	1882,9833269444
1736,0281037447	1578,9658795049	1424,3521388717	1703,487824702	1691,4914835055	1500,2588565935	2110,9885778518	1864,9322829648	1818,1525920245	1569,8620689655	1429,7458670619	1899,9845897921
1728,4684327877	1572,4894003634	1418,3963187782	1712,5523234275	1684,5124282983	1507,1775618375	2106,2600383827	1843,8962075848	1807,0318984426	1570,2489982828	1430,0443123177	1886,891674032
1672,9973211677	1554,3737355573	1372,713489191	1719,674034863	1660,6557377049	1488,9997394185	2081,2116380203	1811,8029862916	1775,6611502277	1519,402266289	1421,9766915592	1887,095912532
1668,6378185204	1560,0506832187	1389,8829839103	1710,3957330889	1667,7671310089	1493,753718025	2019,3978395771	1801,2774003707	1777,273648635	1521,082359488	1421,3411938938	1889,7576226616
1675,8801629385	1571,6028887225	1393,1200384893	1716,756474356	1662,4527926854	1496,1449072195	2130,5430272828	1801,086821345	1773,2564093275	1519,2945945946	1422,4435283488	1866,5815317173
1652,8714150354	1572,7323819978	1374,2297718459	1703,9007503947	1650,2600882724	1490,219149875	2057,5600500986	1805,5643187381	1734,1747157256	1513,2216358839	1413,1395427795	1849,0493184472
1636,6986876442	1576,0976092986	1362,5032520518	1699,2326078962	1639,5856485156	1474,3170202596	2059,7136829726	1815,0475583187	1732,9079375781	1502,914507772	1414,6567283528	1851,9984808579
1629,3684373287	1575,2772843892	1371,1008959144	1688,7942009848	1642,505503302	1473,4584646968	2041,6683734076	1821,2554456273	1733,9158368662	1501,7105263158	1419,5901132853	1856,896842068
