AUT	BEL	DEU	ESP	FIN	FRA	GRC	IRL	ITA	LUX	NLD	PRT
0,5309531689	0,6794830561	0,3836232424	0,518301487	0,5409700274	0,5205785036		0,6226542592	0,5419400334	1,1581487656	0,6566906571	0,5642615557
0,5311173797	0,6706110835	0,4025526047	0,5892056823	0,5801517963	0,5256106257	0,4466675818	0,591340065	0,5578700304	1,142781496	0,6538422108	0,6014938951
0,5304096937	0,675413847	0,4199082553	0,6000865698	0,5743644834	0,5230565071	0,4174469709	0,6071516275	0,553720355	1,2521020174	0,6612920761	0,6067787409
0,5476061106	0,6816025972	0,4286403358	0,5624235272	0,5455277562	0,5378432274	0,4580376446	0,6169061661	0,5670010448	1,0994592905	0,6826651096	0,6178503633
0,587423563	0,7037016749	0,4472666979	0,6286728978	0,5895783305	0,5575703382	0,4518948495	0,6324996948	0,5755757689	1,0373723507	0,701208353	0,637701869
0,6186119914	0,7005731463	0,4707731009	0,6344098449	0,6001929641	0,5660841465	0,4505060911	0,6284049749	0,5756331682	1,0507675409	0,7119445801	0,6326576471
0,6501906514	0,7170453072	0,4918869734	0,6627142429	0,5973232388	0,600222826	0,4688159525	0,6205843091	0,5784468651	1,1527081728	0,7185046673	0,6498532295
0,664008975	0,7089776397	0,4999539852	0,6610155106	0,580291152	0,6257583499	0,490111351	0,6234523654	0,5811741352	1,1468440294	0,7188163996	0,6708081961
0,6847899556	0,7092152238	0,5079607964	0,665305078	0,5705520511	0,6471037269	0,5041478276	0,6274060011	0,5958660841	1,1138277054	0,7165123224	0,6573559046
0,6791553497	0,7107169628	0,5235427022	0,6286094785	0,5994414687	0,6522867084	0,4957092702	0,6352567077	0,601682961	1,0633363724	0,7270109653	0,6640149355
0,6907625794	0,683388114	0,5344334245	0,6801926494	0,6032406688	0,6826598048	0,4699943364	0,6337789893	0,6155347228	1,0043318272	0,7301991582	0,6713668704
0,7087211609	0,7061075568	0,529720962	0,7355613708	0,6259053349	0,6991723776	0,5155627728	0,6607735157	0,6419237256	0,977003932	0,7147927284	0,6868524551
0,7126407623	0,7352999449	0,5298910141	0,7658423185	0,6162062287	0,7121950984	0,4903992712	0,6701906919	0,6591233611	0,9909517169	0,7142632604	0,7169437408
0,7214311957	0,7457324862	0,5237275362	0,7944667935	0,6003246307	0,7296547294	0,5341127515	0,6778621674	0,6678845882	0,9716838598	0,6943591833	0,7288982868
0,7328870893	0,7674066424	0,5345869064	0,78807652	0,5892381072	0,7416980267	0,5430772901	0,6714660525	0,6585730314	0,9993818998	0,7364529967	0,7307420373
0,7357732654	0,7712773085	0,538190186	0,7889808416	0,5959300399	0,7494024634	0,5677322149	0,6620385647	0,6754772067	0,981084466	0,7324240208	0,7571814656
0,7493453026	0,7723588943	0,5349135399	0,7979176044	0,5963144898	0,7547700405	0,5800711513	0,6529038548	0,6907871366	0,9739180207	0,7242128849	0,7508487105
0,7711272836	0,8004845977	0,5349421501	0,8085914254	0,6139362454	0,7835791111	0,5971646309	0,6879493594	0,7164139152	1,0225906372	0,7563483119	0,7947912216
0,7886762619	0,8169615269	0,5459097624	0,8215663433	0,6351710558	0,7939175367	0,6116880774	0,7165016532	0,7372730374	1,0616601706	0,7759108543	0,8769524097
0,8179221153	0,8528906107	0,5750761032	0,8630397916	0,6840583682	0,848126471	0,6574925184	0,7311235666	0,7688778043	1,1947737932	0,8098220825	0,8924927115
0,8685470223	0,8930365443	0,5867851973	0,8608126044	0,7081930637	0,8765660524	0,6968706846	0,7341278195	0,8430417776	1,1725652218	0,8451305628	0,9314635992
0,8742691875	0,8875980973	0,5986897349	0,8602628708	0,7008977532	0,8928499818	0,7147582173	0,7309590578	0,8449856639	1,0503232479	0,8717779517	0,9368352294
0,877040565	0,9200913906	0,6189678311	0,88291502	0,7184223533	0,9196426272	0,7385837436	0,7660572529	0,8611043692	1,0659632683	0,8908848763	0,9530707598
0,8684226871	0,9460884929	0,6397018433	0,8814815879	0,7272325158	0,9418171644	0,735501647	0,7600076795	0,8929724693	1,0998325348	0,9327050447	0,9935147166
0,8514513969	0,9674118161	0,6706070304	0,9085928202	0,7409917712	0,9906107187	0,6828492284	0,7508286834	0,9512426853	1,062340498	1,0477706194	0,9389938116
0,8643878102	0,9371896386	0,6880880594	0,9042579532	0,6983509064	0,98032552	0,7125926614	0,7816352248	0,9265491366	0,8707008362	1,0370434523	0,8553994298
0,8530495763	0,9785386324	0,6956190467	0,9009854198	0,6717292666	0,9687108994	0,7151513696	0,7797750235	0,9626923203	0,9088662267	1,0568016768	0,8616877198
0,854758203	0,9849253893	0,7054032683	0,8999057412	0,6643568873	0,9854400754	0,6924958229	0,806722343	0,9821142554	0,8986055851	1,0541504622	0,8698404431
0,8423044086	0,9963659644	0,7101213932	0,9091684222	0,6746912599	1,0067721605	0,7047977448	0,8268681169	0,9999804497	0,9217496514	1,054399848	0,8567479849
0,8477615714	1,0156003237	0,7255721688	0,9113017917	0,7105147839	1,0240960121	0,6850958467	0,8055998683	1,0550808907	0,9407368302	1,0804467201	0,8627159595
0,8402941823	1,0900354385	0,7282396555	0,9408301115	0,7330831289	1,0346924067	0,6814643145	0,8098061681	1,0985131264	0,9177764654	1,1157696247	0,8672474027
0,820322156	1,0375146866	0,7050289512	0,9181758165	0,7199881673	1,0046204329	0,6570905447	0,8059400916	1,0490173101	0,8577083945	1,0638968945	0,8246075511
